text,label
PREVISTO,ORG
Recomendo,LOC
Ok Muito,MISC
Amei,PER
Ótima,PER
Gostei,LOC
super,MISC
Ótima Empresa,PER
Acredito,LOC
Comprei,LOC
BOA,PER
PODE,MISC
SÓ HOUVE,MISC
TINTA PRETA VAZOU,ORG
A EMBALAGEM,MISC
BALANÇANDO,MISC
PERDI BASTANTE,PER
TINTA PRETA,ORG
Precisa,LOC
RECEBI,MISC
RELÓGIO NO PULSO,ORG
E ELE FICOU,LOC
COLOQUEI,MISC
ESTOU INSATISFEITA,ORG
Ruim Comprei,LOC
recebi.26/12/2017,ORG
vcs,PER
PRODUTO,ORG
ENTREGUE,MISC
JÁ FIZ MINHA RECLAMAÇÃO,MISC
ATÉ AGORA,MISC
INSATISFEITO,MISC
QUERO MEU DINHEIRO DE VOLTA,MISC
DENUNCIAR AO PROCON,MISC
super,LOC
CHEGOU C AVARIAS,MISC
Ótimo,LOC
Gostei,LOC
Ótimo,LOC
Americana,LOC
super,LOC
super,LOC
Super,MISC
Meu,PER
Recebi,PER
Procurei,PER
Vergonha,LOC
Absurdo,PER
Recomendo Chegou,PER
NF,PER
Aguardo,LOC
toner,PER
NÃO,ORG
NÃO,ORG
Peço,PER
Otimo Produto,PER
Adorei,PER
Super Recomendo,MISC
Confio,PER
CHEGOU CORRETAMENTE,MISC
PRAZO,ORG
Super,LOC
Ruim Recebi,LOC
Comprei dois kit,PER
Aguardo,LOC
Urgência,LOC
NÃO COMPREM,ORG
A LOJA  Fiz,MISC
Prazo,MISC
PDOUTO,ORG
Comprei,LOC
LED,ORG
Super,MISC
linda,PER
Branco,PER
PRODUTO NÃO,MISC
ENTREGUE,MISC
Abs,PER
Vale,LOC
Dei,PER
Super,MISC
Adorei,PER
Produto,PER
Ótima,LOC
Nao,MISC
Ótimo,LOC
Recomendo!,MISC
Comprei,LOC
Entrega,LOC
Recomendo,PER
targaryen,LOC
Otima Muito,PER
Amei,PER
Produto Ok Relógio,PER
Pedi 2 unidades,MISC
Aguardo,LOC
super,LOC
IGUAIS SEPARADAMENTE,MISC
"FISCAL!
",ORG
GERA INSATISFAÇÃO,MISC
Pedi,PER
RECOMENDO FIZ,MISC
CAIXAS,ORG
CAIXAS,ORG
Bebella,LOC
Comprei,LOC
Bandeja  Excelente,ORG
Rapidaentrega,MISC
ENTREGUE DENTRO,MISC
ESTIPULADO,MISC
ASSIM,MISC
PRAZO,MISC
MOTIVO,MISC
EU PENSAR 2 VEZES,MISC
COMPRAR NOVAMENTE,MISC
QUEM NÃO TEM PRESSA,MISC
BOA OPÇÃO,PER
las,LOC
Comprei,LOC
Compra,LOC
Recomendo!,MISC
Gostei,LOC
MATERIAL,ORG
PRODUTO,ORG
DEIXA,MISC
IMÃ,MISC
CARTEIRA,ORG
POUCA PRESSÃO,MISC
JÁ,LOC
FECHA MAIS,MISC
DEVERIA,LOC
FICA SOLTANDO,LOC
COSTURA,ORG
MEDIANO,ORG
Problemas,PER
Correios,LOC
ENTREGA NÃO EFETUADA,MISC
Recebi o material bem antes do prazo informado,MISC
Pet,ORG
Falta,MISC
Impossível,LOC
regulart,PER
Comprei,PER
Relógio ruim,PER
Dourado,LOC
Ótimo Ótimo,PER
comprei,LOC
Película do Fusor Lexmark E250,LOC
Ótimo,LOC
Entrega,LOC
Parabéns,PER
Realizei,PER
Produto,LOC
Salvador,LOC
Espero Resposta,PER
Otima,LOC
OK,LOC
RECEBI OSPRODUTOS,MISC
QUALIDADE,ORG
SUPER RECOMENDO,MISC
Mto,PER
Mto,PER
Comprei 2 relógios,MISC
Excelete Compra,PER
Parabéns!,MISC
Comprei,PER
Pedi,ORG
Apple,ORG
Samsung,ORG
Ridículo!,MISC
Peço,PER
Mochila,PER
Recomendo!,MISC
Grella oriental,LOC
Super,LOC
Entrega,LOC
RECOMENDO,LOC
LOJA,ORG
RAPIDEZ NA,MISC
PRODUTO,ORG
Nao,MISC
A MELHOR,MISC
Netshoes,LOC
Melhores Lojas On-Line,MISC
Indico,PER
Quero,MISC
Peço,PER
Ótima,PER
Cassio,MISC
Nao,MISC
Linda,PER
Comprei,PER
Prazo,MISC
Recomendo Recebi,PER
Péssima,LOC
Comprei,LOC
Relógio Feminino Bracelete Dourado Strass,PER
Relógio Feminino Bracelete Flor,PER
NF,ORG
Aguardando,PER
Bebê,PER
Pensei,LOC
Boa Entrega,LOC
Escova,PER
Ótimo,LOC
Adorei.ficou,LOC
Parabéns,PER
Recomendo!!,MISC
Ótimo  Comprar,LOC
Meu,ORG
Super,MISC
Valter,LOC
Agradecemos,LOC
Lamentamos,MISC
Bom Gostei,LOC
Alto Falante 10 Polegadas Medio Grave,LOC
Rms,PER
SÓ RECEBE 2 UNIDADES FALTARAM,MISC
Recomendo,ORG
vocês,LOC
Adorei,PER
RECOMENDO,MISC
Acho,PER
Q6003AB,MISC
Cadê,PER
Obrigada,LOC
Nao Gostei,MISC
Att,ORG
Parabens,LOC
Recomendo!,MISC
Amassado,LOC
Ótimo Valew,PER
Encomendei,PER
Paguei,PER
Cadê,PER
Amei,PER
TIVEMOS,MISC
CORREIOS,MISC
ISSO É DESAGRADÁVEL POR PERDERMOS,MISC
Compra,LOC
Boa Atendimento,LOC
Comprei,LOC
NF,ORG
R$,MISC
R$,MISC
R$,MISC
Recebi,MISC
Jogo de Lençol,PER
King Imperial,LOC
Peças Percal 180,LOC
Pedido,PER
Nota Fiscal,LOC
Abri,PER
Parabéns,LOC
King,PER
Kiung,MISC
QUEEM,MISC
Amei,PER
Adorei!!,MISC
Recomendo,LOC
Produto,LOC
Entrega,LOC
OTIMO,ORG
TUDO,ORG
Ótima,LOC
Braçadeira Armband,PER
xing ling,MISC
Bons,MISC
Parabéns,LOC
MT,LOC
Relógio,PER
Beijos,LOC
boa loja,LOC
boa compra,LOC
bom Muito,LOC
Ótima,PER
Comprei 4 fatiadores,MISC
bom Gostei,LOC
Comprei,LOC
Nota Fiscal,MISC
Vergonha,LOC
Epson,PER
Informo,PER
Lustres Pendente Meia Lua Meia Bola Esfera Alumínio,LOC
O Correios,MISC
Lustres,PER
IGUAIS SEPARADAMENTE,MISC
"FISCAL!
",ORG
GERA INSATISFAÇÃO,MISC
Natal,LOC
Recomendo,LOC
RECEBI,MISC
PRODUTO E NEM,ORG
DINHEIRO DE VOLTA,MISC
IR,MISC
GOSTEI,ORG
O CLIENTE,MISC
SÃO ATENCIOSOS,MISC
BOA QUALIDADE,LOC
Comprei,LOC
POXA SO,LOC
QUERIA,ORG
Ótimo,LOC
Recomendo!,MISC
Super,MISC
Bom!!,MISC
Vale,LOC
Santa,LOC
Compre,LOC
Totalmete,PER
Super,PER
Recebi,MISC
Comprei,PER
Creme,MISC
Manta bonita,PER
Gostei!!,MISC
Produto,PER
Veio,PER
Comprei,LOC
Loja confiável,MISC
Amei,PER
Parabéns,LOC
bom,LOC
Satisfeito  Produto,MISC
Lençol,PER
Comprei,LOC
M,MISC
Gostei,LOC
Recomendo...,MISC
Empresa,MISC
Tudo,LOC
Prazo  ,PER
Recomendo,LOC
Pensei,LOC
Acho,PER
NF,ORG
Olá,PER
B - Hanging Rail,MISC
Vocês,LOC
Aguardo,LOC
Correia,LOC
Recebido,PER
CARTUCHO,ORG
ME ENVIARAM NÃO É ORIGINAL,MISC
E A IMPRESSORA NÃO ESTÁ,MISC
PRODUTO,ORG
QUERO MEU DINHEIRO DE VOLTA,MISC
Simples Funciona,PER
Confesso,PER
Comprei,LOC
Vale,LOC
Vieram,PER
Otima Produto,PER
Comprei,PER
Correu,LOC
Comprei,LOC
Vou,PER
Parabéns,LOC
Olha,LOC
Botei,LOC
MEU PEDIDO,ORG
Relógio,PER
Comprei,PER
Aguardo,LOC
Otimo Ainda,PER
Ótimo,PER
Ótimo,LOC
Comprei,LOC
Gostei,LOC
Absurdo,LOC
Vale,LOC
PRATA,ORG
GRAFITE,LOC
Super,MISC
Mandei,PER
Produto,PER
Película Baseus 3D,PER
Comprei,LOC
CANCELADO,MISC
FAÇO,MISC
PAGO,ORG
Recebimento,ORG
Recebi,LOC
Poderia,PER
Recomendo Entrega,PER
ATÉ,ORG
PRODUTO!,MISC
P TER CHEGADO,MISC
MAIS,ORG
FALTA DE PROFISSIONALISMO,MISC
RESPEITO,ORG
O CONSUMIDOR,MISC
Preciso,PER
Compromisso Manter,PER
Amei,PER
"Aguardo
Obrigada",PER
Adorei,PER
Linda,PER
Lojas,LOC
Carteira,LOC
Espero,PER
Aguardando,LOC
O produto,MISC
Ruim,LOC
ENTREGUES,MISC
Ok,LOC
Ótimo Superou,PER
Recomendo,LOC
Comprei,LOC
Acredito,LOC
POLICIA,MISC
Compra,LOC
TODOS OS,MISC
COMPREI 02,MISC
ESTOU ESPERANDO UMA RESPOSTA,MISC
OUTRA LUMINÁRIA,PER
Produto,PER
Entrega,LOC
cEGOU ANTES,MISC
PRAZO,ORG
MUITO BOM !!!,MISC
Recebi,LOC
Gostei,LOC
10 Gostei,LOC
Parabéns,LOC
MUITO,ORG
TACA,MISC
Valeu,LOC
Real Investido,ORG
TODOS,MISC
Ótimo,LOC
OBS,ORG
ENTREGA 01,ORG
Sony,ORG
LG,ORG
Ótima,PER
Prazo,MISC
Recomendo Entrega,PER
super,LOC
Parabéns,PER
Relógio,LOC
Recomendo,LOC
Recomendo Produto,PER
Bom,LOC
Correios,PER
Comprei 2,MISC
M,MISC
Otimo Compra,PER
Correios,LOC
Recomendo,LOC
Ótimo,LOC
Bom Produto,LOC
Maggion,MISC
T Vipe,MISC
Pneu de Moto Maggion Aro,LOC
Pneu Maggion,LOC
T Viper,MISC
Pedi,ORG
Gostei,LOC
Deveria,LOC
Parabéns!!,MISC
Loja Parceira,PER
Satisfeito Gostei,MISC
Bom Produto,LOC
Entrega,LOC
Cabeceira solteiro  Chegou,LOC
Gostei,LOC
Super,MISC
GOSTEI,LOC
TAXA,ORG
ENTREGA MAIOR,LOC
PRODUTO,ORG
Perfeito !,MISC
Compro,PER
Recomendo!!,MISC
Ótimo,LOC
vendedor onesto,PER
Comprei,LOC
Correios,LOC
bom,LOC
Correios,MISC
vend,LOC
Maria Faraildes Santos,PER
Ótimo,LOC
BOM Achei,LOC
Nao,MISC
Produto,PER
Pulseira,LOC
RECEBI APENAS,MISC
PRODUTOS,MISC
RELÓGIO,MISC
OUTRO RELÓGIO DE LED,MISC
NEM SINAL DELE.NO ENTANTO,MISC
DADO,MISC
ENTREGUE.COMO,PER
EMBALAGEM SÓ VEIO,MISC
RELÓGIO DE PÉROLA,MISC
JÁ USEI,ORG
Ja,PER
parabens,LOC
Exijo,PER
NF,ORG
Pedi,ORG
SATISFEITO,MISC
QUALIDADE DE INFORMAÇÕES PASSO,MISC
RECEBIMENTO,ORG
PRODUTO,ORG
Recomendo,ORG
Adoreiii Comprei,PER
Pedi,PER
Parabéns!!,MISC
Olá,PER
Aguardo,PER
PERFEITA CONDIÇÃO,MISC
PRAZO,ORG
Comprei,LOC
Correio de Belo Horizonte,LOC
Tapete,PER
Golden Retriver,ORG
Nao,MISC
Rapida,LOC
Péssimo,LOC
péssimo vendedor,PER
WiFi,MISC
Repeater,MISC
Insatisfação Negativo,MISC
Bom Atende,LOC
Adorei,PER
Ótimo  Ótimo,LOC
LM 327,MISC
quantos watt's,MISC
Propaganda,LOC
Aguardo,MISC
Tanner,PER
super,LOC
Recomendo Muito Produto,PER
Entrega,LOC
Gato,PER
Pedi,ORG
Kit,PER
CERTEZA,ORG
Compro,PER
Recomendo,PER
Comprei 3 garrafas de vinho,MISC
Nota Fiscal,LOC
Compramos 5 trocadores,MISC
Ótimo,LOC
Quero,LOC
Comprei,PER
DESCRIÇÃO INFORMA,MISC
PRODUTO,ORG
ITENS,ORG
ANEL,MISC
GUARDANAPO,LOC
SUPER PEQUENO,MISC
NAO,ORG
NEM UM PRATO,MISC
Material,LOC
Acredito,LOC
Bom Gostei,LOC
Perfeito!,MISC
Comprei,LOC
vcs resolva,PER
Ótimo Chegou,PER
Correios,MISC
Estão,LOC
NÃO RECOMENDARIA,MISC
PRODUTO NÃO VEIO,MISC
COR AZUL,MISC
SIM NA BRANCA,MISC
A COR DESEJADA,MISC
Adorei,PER
Comprei,LOC
Linda,PER
PREZADOS,MISC
CAIXA,ORG
OBSERVANDO,ORG
GUIA DE ORIENTAÇÕES NÃO CONSTA,MISC
PRODUTO,ORG
DEVIDO DESCONFORTO,MISC
ASSIM,MISC
AGUARDO RESPOS,MISC
Ótimo,PER
comprei,LOC
Ótimo Recebido,PER
Ótimo,LOC
Show!,MISC
Quero,PER
Fui,PER
Ótimo,LOC
Incompetentes!,MISC
Falta,MISC
Produto Travou,LOC
Super,MISC
Relógio Pedi,PER
Recomendo,LOC
Relógio,PER
Adorei,PER
Bom Produto,LOC
super,MISC
Ola,MISC
Nota Fiscal,LOC
Compramos 5 trocadores,MISC
RAPIDO,ORG
FACIL,ORG
Recomendo,LOC
Aparelho,LOC
vc,PER
Paguei,PER
Comprei 2,MISC
Linda,PER
Amei,PER
SIMPLESMENTE HORRIVEL,MISC
Fiz,PER
Recomendo,ORG
FALTANDO,LOC
Mandei,PER
LOJA,LOC
SUPORTE NENHUM,MISC
CLIENTE !,MISC
ATÉ AGORA,MISC
RECEBI,MISC
Parabéns,LOC
Recebi,MISC
Mandei,PER
Nei,PER
Recomendo Entrega,PER
Comprei 2,MISC
Espero,PER
Nao,MISC
Bom Lindo,LOC
Ótimo,LOC
Linda,PER
Satisfeita Entrega,MISC
Capa Transparente,PER
Película de Vidro Para Meu Bebê,PER
Tamanho Ok,PER
Dois Produtos,LOC
Valeu,LOC
Absurdo,PER
Procon,MISC
Pedi,ORG
NFiscal,MISC
B2W,ORG
Linda,PER
Recomendo!,MISC
Produto,PER
Gostei,LOC
Fornecedor,LOC
Bom Mercadoria,LOC
Produto,PER
FALTA,ORG
VALOR EXTREMAMENTE,MISC
AO VALOR,MISC
PAGO,ORG
Nao,MISC
UM DESCASO,MISC
O CONSUMIDOR ESS TIPO DE ATITUDE,MISC
PRODUTO DEIXOU,MISC
DESEJAR PARECE MAIS,ORG
COLCHA COBRE LEITO,MISC
ESPERAVA MAIS,MISC
Otimo Gostei,PER
preferi,PER
Comprei,LOC
Mandei,PER
Aguardo,LOC
Amei,PER
Comprei,PER
Efetuei,PER
Produto,PER
Recomendo Chegou,PER
Comprei 2,MISC
Gostei,LOC
Otima,LOC
Recomendadissimo,LOC
Kit,ORG
Sou o Síndico do Condomínio,MISC
Amei,PER
Ótimo  ,LOC
Adorei,PER
Amei!  ,MISC
Recomendaria,LOC
bom,LOC
PRODUTO,ORG
CHEGOU NA METADE,MISC
PRAZO RECOMENDADO,ORG
ESTOU SATISFEITA,ORG
Sr. Diretor|,PER
FALTANDO UMA LUMINÁRIA PENDENTE DE COR,PER
ABORDA,ORG
COR AMARELO,MISC
Gostei,LOC
INSATISFAÇÃO,MISC
Super Recomendo Gostei,MISC
Recomendo,LOC
Super,LOC
cadeira,LOC
Medio Soh,PER
Obrigada,LOC
Rosana,LOC
Usei,PER
recomedo pedi unissex,PER
super,LOC
MUITO SATISFEITO,MISC
Ótimo,LOC
Recomendo,LOC
Nao,MISC
Nao,MISC
Me,MISC
"Recomendo!
",MISC
Valeu,PER
Beijo,PER
EXATAMENTE,MISC
ANUNCIADO,MISC
Comprei 2,MISC
ENTREGUE,MISC
"INCOMPLETA!!!
",MISC
O Cartucho de Toner HP,MISC
ENTREGUE,MISC
Parceiro,MISC
Comprei,PER
Continue,LOC
Pedi,ORG
RECOMENDO,MISC
Cumpre,LOC
Trocar,PER
sat,ORG
Ótimo  Loja,LOC
Aguardo,LOC
Vendedor,LOC
Gostei,LOC
Comprei,PER
Recomendo,LOC
Recomendo,ORG
Correios,LOC
Aprovada Satisfeita,PER
Super,MISC
Bom produto Atende,LOC
Ótimo Parabéns,PER
Cloreto de Magnésio PA 240,PER
Capsulas,LOC
Lojas,MISC
Correios,MISC
Super,LOC
Cadastro,LOC
play 2,MISC
Sonic,PER
EU NAO RECEBI,MISC
PRODUTO AINDA NAO,MISC
Lastimável!,MISC
Super Recomendo,MISC
Elton,LOC
Bom Gostei,LOC
Rapidez Produto,MISC
Super,MISC
PRODUTO É DE PESSIMA QUALIDADE,ORG
POLIESTER,MISC
TEXTURA HORRÍVEL,MISC
NÃO RECOMENDO,ORG
Amei,PER
Manual,MISC
NF,ORG
Enviei,LOC
pedi,ORG
........................................................................................................................................................................................................,LOC
RECOMENDO,MISC
Ótimo,LOC
Ótimo Atendimento,PER
ENTREGA Empresa,MISC
Recomendo ANTES DO PRAZO,MISC
ÓTIMO,MISC
pedi 2 objetos,MISC
SÓ NÃO ENTENDI,MISC
PEDI TRÊS MERCADORIAS,MISC
E SÓ,MISC
RECEBI UMA,MISC
ESTOU NO AGUARDO,ORG
POSSO DIZER,MISC
ENTREGUE,MISC
RECEBI SOMENTE,MISC
Acho,PER
PERCAL,ORG
arara,LOC
PROS,MISC
CONTRA,ORG
usb,MISC
Amei,PER
Comprei,PER
Prazo,MISC
super,LOC
Amei,PER
Perfeito,LOC
Comprei,LOC
Quiosque da Loja Americana,LOC
PRODUTOS,MISC
PRODUTOS DE PÉSSIMA QUALIDADE,MISC
NÃO GOSTEI,ORG
COMPREI 6 CADEIRAS,MISC
AINDA VEIO,MISC
COR,ORG
CONTATO,MISC
VÁRIAS VEZES,MISC
TOTAL DESCASO,MISC
CLIENTE,MISC
Muito Obrigado,LOC
Super,MISC
Comprei,LOC
Avaliacao,PER
Nao,MISC
Pedi,ORG
omprei 2,MISC
receb1,PER
Favor,PER
Comprei,PER
Parabéns,PER
Banco do Brasil,ORG
NF,ORG
Noseclean,PER
RECEBI,MISC
COMPRA CORRETAMENTE,MISC
POREM,ORG
AGORA,ORG
Gostei,LOC
Entrega  Ainda,LOC
Recomendo,LOC
Dimalato Nutri Gold,PER
COISA ERRADA,MISC
PEDI APENAS,MISC
PRODUTO,ORG
E VIERAM DOIS,MISC
whey proten,PER
Satisfeita,PER
Gostei,LOC
Prazo,MISC
Sim,LOC
Pedido,PER
comunico,LOC
Adorei,PER
Comprei,PER
PÉSSIMO,ORG
PRODUTO ATE AGORA,MISC
NENHUM,ORG
Amei,PER
Top!,MISC
Super,MISC
super,MISC
Eficiencia Parabens,PER
LINDO TAPETE,PER
TAPETE É MUITO BONITO,MISC
CHEGOU,ORG
PRAZO,ORG
RECOMENDO,MISC
Gostei,LOC
Comprei,LOC
Recomendo  Entregaram,MISC
Quero,MISC
Correios,MISC
PRODUTOS MARAVILHOSOS,MISC
Osdrich,LOC
Obopekal,LOC
Att,ORG
Bian,LOC
irei,PER
Correios,MISC
INCÊNDIO,ORG
FORTALEZA-CE,ORG
Péssima,LOC
Comprei,PER
COMPREI UM PROTETOR,MISC
SOFÁ DE 2,MISC
LUGARES NA COR PRETO,MISC
COR MARROM,MISC
TROCA,MISC
ATÉ AGORA,MISC
ME,MISC
RESPOSTA,ORG
Comprei,LOC
Comprei,LOC
Black,PER
Black,ORG
Fui,PER
Nao,MISC
Meu,ORG
Super,MISC
Gostei,LOC
Ótimo,LOC
Joalheiro,MISC
Esperei,PER
Recomendo,LOC
PAC,MISC
Mercado Livre,LOC
SP,LOC
OK,LOC
Recomendo !!,MISC
Regular Produto,PER
Escolhida,PER
vendeiro,LOC
Ótimo,LOC
Comprei 2 jogos,MISC
Nota Fiscal 001689,MISC
Aguardo,LOC
Fornecedor Ibitinga Decora,PER
Aguardo,LOC
comprei 3,MISC
vc,PER
Comprei,LOC
Parabéns,LOC
Falcon,PER
Recomendo Produto,PER
Vcs,LOC
bom,LOC
super,LOC
led,ORG
Parceiro,PER
Lojas,MISC
Vendedor,PER
"Entrega rápido, gostei da qualidade da torneira",MISC
Mercadoria,PER
Gostei,LOC
Mercadoria,LOC
IR,LOC
off White,PER
Colada,MISC
Recomendo,LOC
Fico,ORG
luva,LOC
Ótimo,LOC
Optei,MISC
Bonitinho,ORG
Prazo,MISC
Ótimo,LOC
Bom Natal,LOC
super,LOC
Relógio,PER
Super,MISC
Entrega,LOC
Americana,LOC
Mercadoria,LOC
Queria,LOC
Produto,PER
Super Recomendo,MISC
Gostei,LOC
