review_score,review_text,sentiment_label,text_length,product_category_name_english,customer_state
1,NÃO RECOMENDO Vendem um produto sem ter em estoque e só avisam depois que a NF foi emitida e simplesmente mandam o cliente se virar para cancelar junto ao stark!!,negative,162,home_appliances,SP
5,"Chegou antes do prazo, amei...",positive,30,perfumery,BA
1,"produto falso me venderam um produto falso. Logo após a primeira formatação nele ele parou de funcionar, contactei a assistência da Sandisk relatando o problema e me enviaram um email dizendo que o produto é falso.",negative,214,computers_accessories,SP
4,Agradeço por ter recibo antes do prazo.,positive,39,toys,PE
5,Entrega no prazo excelente recomendo,positive,36,perfumery,SP
4,bom produto e chegou rapido,positive,27,sports_leisure,SP
5,Satisfeito Compra rápida e fácil.,positive,33,housewares,SP
1,Como faço pra conferir aonde está meu produto?,negative,46,watches_gifts,MG
4,"produto bom, chegou no prazo",positive,28,bed_bath_table,ES
4,Recomendo O produto chegou até antes do prazo dado. Muito bom!,positive,62,health_beauty,AM
1,"Não recebi o produto, não tive resposta. Nem.chegou a ser gerada a nfe. Loja nem existe!",negative,88,sports_leisure,SC
3,"O produto enviado eh  O produto enviado não condiz com a descrição.
No nome do produto informa que eh porta shampoo rádio relógio, logo entende- se que possui o recurso ( radio e relogio) e não verdade eh um adesivo",neutral,216,housewares,SP
5,Um produto de excelente qualidade.,positive,34,garden_tools,SP
1,"Embora seja problema dos correios a empresa nao deveria dar um prazo de entrega, apenas se utilizasse transportadora própria. Comprei 4 unidades e só chegou 1",negative,158,furniture_decor,RJ
1,"Comprei dia 01/11, data prevista para entrega 22/11, hoje 25/11 não recebi o produto ainda e nenhuma satisfação! Lamentável, não compro mais e muito menos indico. Esse não é o padrão da lannister 👎?",negative,198,watches_gifts,RJ
5,"O produto veio bem embalado, ainda não testei espero que funcione bem.",positive,70,computers_accessories,SP
5,Superou as expectativas! Produto maravilhoso! Muito além do q esperava e chegou antes do prazo! Uma riqueza de detalhes espetacular! Fiquei muito satisfeito com a seriedade das loja!,positive,182,watches_gifts,PR
5,"Entrega no prazo, todos os produtos lacrados! Excelente como eu esperava!",positive,73,telephony,PR
1,"ESTA FALTANDO O JOGO DA ROUPA DE CAMA POIS SO RECEBIAS DUAS FRONHAS AVULSAS, ONDE ESTA O RESTANTE DOE MINHA COMPRA?",negative,115,bed_bath_table,RJ
3,"Lindo porém frágil. O pendente é lindo, vermelho super brilhante igual na foto mesmo, porém o alumínio é muito fino e frágil, se tivesse visto o material antes provavelmente não teria optado por ele",neutral,198,garden_tools,RS
1,comprei 5 so recebi 3 e empresa nao mi da respostas,negative,51,computers_accessories,CE
3,"Mesmo recomendando, o produto demorou muito a chegar.",neutral,53,computers_accessories,PE
5,"Ótimo loja para compras Muito boa loja para comprar produtos de qualidade e com prazo certo de entrega. 
Muito obrigado targaryen e a loja lannister.",positive,150,electronics,SP
1,targaryen não entregou os produtos completos. No dois itens comprados veio faltando unidades.,negative,93,home_construction,GO
1,Não recebi a grelha comprada. Gostaria de saber o que está ocorrendo.,negative,69,housewares,ES
4,"O produto foi entregue em embalagens protegida, porém apresentou pequenos arranhões",positive,83,telephony,MG
5,"Prezados,

Recebi o produto comprado em perfeito estado e dentro do prazo; recomendo esta empresa.

Att,


George Carvalho",positive,129,home_confort,RJ
1,Recebi somente 1 unidade fiz a compra de duas. Cade a outra unidade,negative,67,sports_leisure,RS
1,Não deu dois dias a pelicula solto. Qualidade muito ruim,negative,56,telephony,SP
5,Perfeita Otimo trabalho super recomendo,positive,39,auto,MG
5,"Só não posso dizer se recebi o produto correto, porque é presente de natal para uma criança, que será aberto somente na ocasião.",positive,128,toys,RJ
3,"Comprei duas cadeiras com o pé cromado, porém vieram 2 com os pés de plásticos..",neutral,80,office_furniture,SP
5,"Super Recomendo,atendimento maravilhoso,entrega rápidae no prazo..Ameiii",positive,72,watches_gifts,PI
4,Depois achei mais barato em outro site,positive,38,bed_bath_table,SP
4,"Ainda ñ tenho opinião sobre o produto, mas o serviço de venda / entrega foi excelente! 
Apenas podia ter opção de correio mais acessível, custou 1/3 do valor do produto. 
Obrigada!",positive,182,fashion_bags_accessories,SP
1,"produto entrega na data, mas veio errado, aguardando a solução",negative,62,telephony,SP
3,recebi uma capinha menor q meu aparelho,neutral,39,telephony,MG
2,A entrega está atrasada e sem previsão de quando vai chegar,negative,59,housewares,MG
4,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",positive,108,toys,RS
5,"recomendo Muito bom a entrega e estava dentro do prazo. Alias foi entregue antes, sem nenhum defeito.",positive,101,office_furniture,GO
3,Não recebi o produto,neutral,20,bed_bath_table,GO
4,"Bom dia!
O produto chegou corretamente, mas poderia ter vindo com embalagem de presente.",positive,89,toys,ES
5,"recomendo, muito bom!",positive,21,auto,MS
5,Lindo! A corrente com o pingente Ponto de Luz é muito linda! Adorei,positive,67,fashion_bags_accessories,RS
5,Com certeza voltarei a comprar nesta loja,positive,41,stationery,MG
1,"Problema com a entrega O produto não foi entregue. 

Em 19/04 os Correios informaram que houve um imprevisto na entrega.

Solicitei o estorno da compra e estou aguardando as devidas providências.",negative,199,sports_leisure,RJ
5,Chegou antes da data prevista,positive,29,furniture_bedroom,RJ
3,"O relógio chegou sem funcionar, e não é original Oakley.",neutral,56,,SP
5,Demorou de mais recebe com um meis coisa que a pra presente ninguém merece receber depois,positive,89,,GO
1,"Não recomendo, entrega era dia 19/01 e até o momento nada ainda e nem resposta.",negative,79,toys,SP
2,Eu recebi só um produto e eu pedi 4,negative,35,food,SP
1,NÃO RECEBI O PRODUTO,negative,20,housewares,ES
1,Horrível  Muito ruim!! Embalaram ele dobrado e por isso quando enche ele é difícil desamassar!! Péssimo... Estou insatisfeito com o produto... Desapontado.,negative,155,sports_leisure,SP
5,Entrega muito rápida,positive,20,watches_gifts,SP
3,"O produto chegou no prazo, mas estou na dúvida do produto pois não veio nenhum logotipo da Sony",neutral,95,consoles_games,SP
1,"Não recebi, estava com previsão para 02/04, solicito a devolução do dinheiro.",negative,77,fixed_telephony,SP
1,"Recebi só parte de minha compra, pois comprei duas araras e só recebi uma. Sou cliente há mais de vinte anos e é a primeira vez que isto acontece.",negative,146,furniture_decor,MG
4,"recomendo estou esperando meu produto, depois faço a avaliaçao",positive,62,furniture_decor,RS
1,nao recebi este produto serviço ruim,negative,36,sports_leisure,MG
5,"Produto de qualidade, tal como nas fotos, somente o soquete na ficha técnica está descrito como E14 e o que foi entregue e E27.",positive,127,furniture_decor,PR
1,"A entrega não está completa, Falta um pneu, por enquanto a avaliação é esta",negative,75,auto,SP
4,"Porem enviei um email para vcs contestando a forma de pagamento, pois comprei tudo em 10x e 2 dos 3 produtos vieram com pagamento de 3x . Só fiz uma autorização de pagamento. Gostaria de uma resposta.",positive,200,telephony,RJ
5,"Produto veio rapido , porem percebi que há alguns parafusos da peça enferrujados",positive,80,garden_tools,SP
5,"Recebi o produto correto e dentro do prazo indicado. Estou satisfeita com o serviço prestado desde o inicio que foi a escolha, ate a entrega.",positive,141,baby,PR
5,Comprei num dia e chegou no outro. Nao podia ser melhor.,positive,56,electronics,SP
1,Não recomendo essa transportadora targaryen eles falaram que vieram entregar aqui em casa um dia após eu ter feito a compra e não vinheram eu mesma tive que retirar no correio no fim do mundo AFF,negative,195,housewares,SP
4,Chegou antes do prazo,positive,21,office_furniture,SP
5,Parabéns chegou antes do prazo,positive,30,electronics,MG
5,Chegou rápido o produto vale a pena.,positive,36,cool_stuff,SP
5,"Entregou com bastante ant Rapidez na entrega , é um produto de ótima qualidade!",positive,79,sports_leisure,PA
1,"O produto veio fora do prazo, é só recebi porque solicitei o cancelamento.

Lamentável.",negative,89,audio,SP
1,"entregaram apenas o porta temperos os copos nao recebi,que chato estou tendo sempre problemas na compra com a lannister....",negative,123,housewares,MG
1,Minha avaliação é zero. Estamos desde o Natal aguardando q o nosso alto investimento feito com muito esforço traga a devida alegria a uma criança altamente merecedora.,negative,167,toys,MG
3,Comprei 2 unidades e recebi apenas 1 unidade!!,neutral,46,bed_bath_table,RS
5,"recomendo produto chegou antes do prazo previsto, era o que esperava",positive,68,health_beauty,PR
3,Houve um atraso na entrega......deveria ter recebido ate o dia 13/11/2017 e recebi no dia 18/11/2017,neutral,100,small_appliances,PR
1,NÃO RECEBI O PEDIDO NO PRAZO E AINDA NEM RECEBI O PRODUTO UM DIA APÓS O PRAZO MÁXIMO.,negative,85,,SP
1,"Produto com defeito, solicitei a devolução do mesmo.",negative,52,computers_accessories,MG
5,O produto demorou muito pra chegar.,positive,35,housewares,PR
5,Produto de qualidade e entrega num tempo hábil!!,positive,48,bed_bath_table,SP
4,"Na decisão do produto,diz que pode colocar em ar condicionado de até 12,000 BTU,mas não é verdade,por que ele tem pluges de 10 amperes, que não é indicado pra ar condicionado,deveria ser de 20 amperes",positive,200,computers_accessories,RJ
5,"Postagem fornecedor bem r[apido, entrega pelo correio demorou, não foi culpa do fornecedor..",positive,92,garden_tools,MG
5,recebi bem antes do prazo em 3 dias. Ameeei!,positive,44,kitchen_dining_laundry_garden_furniture,SC
5,"Ótimo, entregou muito antes do prazo, está de parabéns",positive,54,auto,RJ
5,Muito bom Produto perfeito,positive,26,perfumery,MG
2,Comprei dois produtos e recebi apenas um.,negative,41,,SP
5,Excelente loja . Sou cliente antiga . Nada tenho a reclamar. Nota 10 para baratheon.,positive,84,bed_bath_table,PA
3,"Fiz o pedido de dois HUB USB 10 PORTAS, no entanto só recebi um, e na fatura mostram dois e no pedido também.",neutral,109,computers_accessories,MA
5,"O pedido chegou antes do previsto, tudo entregue corretamente.",positive,62,baby,MG
3,"Recebi parte do pedido, comprei 6 cartuchos, mas recebi somente 5. Já enviei uma mensagem. Por favor, poderiam verificar onde foi parar o outro cartucho? Obrigada",neutral,162,computers_accessories,SP
3,Comprei o produto acreditando ser um tapete mas é um banner de lona.,neutral,68,toys,MG
1,"Meu produto era para ter sido entregue dia 13.04.18
Não entregaram, não deram motivo.Quero meu valor pago de volta e não consigo. Vou levar ao Procon",negative,150,furniture_decor,PA
5,Satisfeito com o produto. Entrega no prazo.,positive,43,office_furniture,GO
5,"realmente ainda não entregou num todo , porém o primeiro bem antes do combinado espero o segundo também seja da mesma forma aí sim será com excelência .",positive,152,auto,RJ
2,Produto de aparência boa porém qualidade baixa não é forrada e o prendedor da alça é de plástico,negative,96,cool_stuff,SP
4,"Completou um mês que efetuei essa compra, cuja nota fiscal veio incorreta, com o valor bem abaixo do que paguei, prometeram correção e até agora não houve nem sequer um contato da targaryen.",positive,190,sports_leisure,SP
5,Secante maravilhoso de esmalte ! Super recomendo,positive,48,perfumery,SP
2,Comprei achando que o cartucho era original da Canon. Veio cartucho recarregável e não original. O anúncio deveria ser mais claro.,negative,130,computers_accessories,DF
5,Torneira muito bonita de acordo com minhas expectativas. Vale a pena.,positive,69,construction_tools_construction,SP
5,"Entrega feita corretamente , o produto veio conforme anunciado , já comprei varias vezes no baratheon , estão de parabéns...",positive,124,bed_bath_table,MG
5,sempre compro pela loja lannister . sempre chega antes .,positive,56,toys,MG
5,Muito bom o produto. Recomendo.,positive,31,toys,MG
5,Muito rapido Excelente!!!,positive,25,health_beauty,RJ
5,Entregue antes do prazo. Linda peça em ferro. Compra tranquila e entregue antes do prazo.,positive,89,furniture_decor,SP
5,Ótimo produto superou as expectativas.,positive,38,baby,MG
1,"Quero devolver o produto e não consigo. No site diz que a pulseira possui pederneira, mas não tem. Sem dizer que comprei 5 e chegou apenas 1.",negative,141,sports_leisure,RS
5,Ok Dentro do prazo. Ok,positive,22,computers_accessories,SP
5,Fiquei satisfeita com a compra e com a rapidez da entrega. Obrigada,positive,67,toys,SP
1,"Não posso dar minha opinião, já que não recebi o produto ainda.",negative,63,pet_shop,SP
5,Recebi o produto bem embalado e no prazo. Muito obrigada,positive,56,,SP
1,Pedi duas unidades do produto e recebi somente uma. Alem disso recebi outro produto que nao comprei. Tento mandar mensagem e ninguem responde,negative,141,housewares,SP
4,Tenho algumas dúvidas  Pois essa compra chegou no tempo certo. Mas existe uma bem mais velha que ainda não chegou. Por isso ainda não posso avaliar muito bem.,positive,158,garden_tools,BA
2,"Fiz duas compras uma chegou e a outra estou com problema na entrega, não consigo contato por e-mail ou por telefone para reclamar.",negative,130,office_furniture,SP
5,Entrega pedido Pedido entregue antes do prazo. Tudo certo!,positive,58,computers_accessories,MG
5,"Super recomendo Entrega foi efetuada antes do prazo, a meu pedido. Adorei, pois eu tinha viagem marcada e queria levar o presenter. Deu certo.",positive,142,furniture_decor,SP
4,"Prazo de entrega e cor diferente da que eu escolhi, mas como gostei nao reclamei.",positive,81,luggage_accessories,RJ
5,"bom produto, entrega antes do previsto, embalagem ok.",positive,53,,SP
5,"Chegou antes do prazo Chegou antes do prazo, porém percebi q o zíper da parte menor na primeira vez ele nao abriu o feixe, mas da segunda em diante abriu, caso o feixe abra novamente entro em contato com a loja.",positive,211,auto,SP
5,RECOMENDO A TODOS O PRODUTO DE BOA QUALIDADE E CHEGOU ANTES DO PRAZO.,positive,69,telephony,ES
4,"Gostei, muito prática, leve, só falta avaliar a duração da carga da bateria.",positive,76,sports_leisure,MG
2,"Embora eu ter recebido o produto em dias, mas o meu produto veio com avaria o produto foi uma película de um smartphone da Asus zenfone 3 zoom a película veio trincada...",negative,170,telephony,PE
3,Recebi todos os outros pendentes que comprei ...esta faltando o branco,neutral,70,garden_tools,BA
1,"Não recebi o produto comprado desde o dia 26/12/17. Não tive nenhuma resposta da loja dando satisfação sobre a compra.
Solicito o reembolso da compra.",negative,151,perfumery,SP
5,Amei o produto e chegou bem antes do prazo.,positive,43,garden_tools,SP
1,Entrega incompleta Só recebi um relógio ontem. A empresa não me enviou qualquer informação sobre entrega separada dos itens e prazo para entrega do outro relógio. Enviei email informando e ainda não obtive retorno.,negative,214,watches_gifts,MG
1,foi entregue so q nao esta funcionando,negative,38,health_beauty,GO
5,Não chegou minha colcha,positive,23,furniture_decor,MG
5,Boa empresa Excelente empresa,positive,29,bed_bath_table,SP
1,"nao recomendo o produto não correspondeu as minhas expectativas, comprei um esteto e recebi só o estojo.",negative,104,health_beauty,SP
1,Estou aguardando o correios e nada do produto queria dar para minha sobrinha no natal pois foi o que ela pediu de presente para o papai noel.,negative,141,toys,RJ
5,produto ótimo recomendo muito bom,positive,33,sports_leisure,SC
1,"Ainda não recebi o produto, apesar de constar no site como entregue.",negative,68,housewares,RJ
1,"Não gostei dos travesseiros! Achei que fossem bons, não gostei mesmo!",negative,69,bed_bath_table,MG
3,Eu fui receber mas tinha apenas um produto entrei em contato com a loja e eles me informaram que ainda vão entregar os que faltam então por isso considero que ainda não recebi o produto,neutral,185,furniture_decor,PA
4,Mt bom o atendimento,positive,20,health_beauty,GO
1,Esta faltando parte do pedido!!!!! Veio o navalhete mas não chegou as tesouras!!!!,negative,82,health_beauty,RS
5,eu recomendo essa loja por ter pessoas de altismo comprometimento com os cliente e com produto de qualidade.,positive,108,fashion_shoes,MT
3,A maleta veio com arranhões,neutral,27,perfumery,RJ
5,"Recomendo Bom atendimento, entrega antes do prazo.",positive,50,housewares,SC
1,Ainda não recebi meu produto,negative,28,health_beauty,SP
5,"nota 10 para a loja, produto e para a entrega...",positive,48,cool_stuff,SP
1,"muito boa Recebi o produto,porém o tamanho não foi o adequado.",negative,62,pet_shop,MG
3,Quero o estorno  Não recebi o produto correto,neutral,45,pet_shop,SP
1,Comprei um recibie outro,negative,24,watches_gifts,MG
4,Recebimento antes do prazo,positive,26,computers_accessories,SP
1,"Defeito O produto chegou bem antes do prazo, mas com defeito, veio quebrado o lugar de fazer o encaixar. Muito bonitinha, mas frágil. Tentei realizar a troca pelo site e não consegui.",negative,183,pet_shop,MG
5,Tudo ok com a compra. Chegou antes do prazo.,positive,44,computers_accessories,RJ
2,Não gostei muito da qualidade do produto.,negative,41,bed_bath_table,RJ
5,"Pontualidade Gostei da pontualidade com a entrega, que foi realizadas bem antes do prazo. Recomendo a loja.",positive,107,sports_leisure,SP
1,"NUNCA RECOMENDARIA Péssimo serviço nunca mais o site do shopptime, segunda compra que realizo e a segunda que da erro!!!!",negative,121,watches_gifts,SP
1,"Faz maisde 1 mes que fiz o pedido, paguei no boleto e nao recebi o produto. Nao comprem.",negative,88,furniture_decor,SP
5,"Entregue corretamente, amei a encomenda.",positive,40,furniture_decor,PE
5,A loja entregou o produto antes do prazo combinado. Fiquei muito satisfeito com o produto,positive,89,telephony,SP
1,"Não recebi o produto corretamente, foi enviado outro modelo. Não consigo contato com o baratheon e somente contato por e-mail com o parceiro baratheon. Estou no aguardo da resposta.",negative,181,computers_accessories,ES
1,não recebi a mercadoria ainda.,negative,30,sports_leisure,RS
3,"Em relação à entrega e à loja, tudo certo. Só achei o dispenser muito frágil e pouco prático uma vez que é preciso bombear muitas vezes para que saia a quantidade adequada de pasta de dente.",neutral,190,health_beauty,GO
5,para e a melhor de todas .,positive,26,bed_bath_table,RJ
4,"Só não gostei do prazo para entrega, já ate precisei de outro produto, não comprei por causa disso.",positive,99,housewares,DF
4,Super Recomendo Super recomendo,positive,31,sports_leisure,MG
1,"Demorou 1 semana para gerar a nota , e no final nao foi entregue no prazo e ainda estou sem o produto",negative,101,health_beauty,SP
5,O produto chegou em perfeito estado e no prazo correto,positive,54,housewares,SP
1,"Péssimo  Meu produto está errado. A nota fiscal e prodito está na nome de outra pessoa. 
Eu não estou conseguindo entrar em contato pra pedir o meu produto certo",negative,162,baby,PR
5,"Entrega muita rápida, muito antes do prazo, show!!! Produtos em perfeito estado!",positive,80,toys,RJ
4,Sempre comprei no site. Excelente. O unico problema foi que não entregaram dentro do prazo. Mas no geral todos os produtos são de excelente qualidade.,positive,150,fashion_bags_accessories,RJ
1,Quero saber se foi cancelada só isso!,negative,37,electronics,RO
1,"Já paguei faz tempo, estou precisando é ainda não recebi os produtos",negative,68,health_beauty,RJ
1,"Estou aguardando a entrega, até agora nada, e já passou do prazo.. O mesmo consta que está parado no correio.. Infelizmente...",negative,126,furniture_decor,SC
1,"Gostei de comprar nas lannister, envio rápido e sem problemas",negative,61,electronics,MG
5,parece ser bom mais eu aina nao testei,positive,38,computers_accessories,ES
5,"Super top  Produtos lindos super da hora, chegaram em menos de 5 dias da data da compra e a previsão eram quase 30 dias , qualidade super boa , super indico",positive,156,watches_gifts,RJ
4,"Ótimo Tudo certo, produto e entrega, excelente.",positive,47,housewares,RS
5,"Maravilhosa a qualidade Muito boa a cadeira, ótima qualidade,e clara a explicação pra montagem.",positive,95,health_beauty,SP
4,Recebi e recomendo o produto.,positive,29,electronics,RJ
1,lannister é o pior site de compras na internet muito enrolado as entregas,negative,73,computers_accessories,MG
5,"Meu pedido foi entregue antes do prazo,excelente produto.",positive,57,computers_accessories,SP
4,Faltou a ventosa e resistência.,positive,31,auto,RS
1,"comprei 5 kg de bicarbonato, mas foram entregues somente 3 pacotes de 1kg.",negative,74,health_beauty,RS
5,Tanto o produto quanto o atendimento é de qualidade.,positive,52,fashion_bags_accessories,MG
5,chegou no prazo e com qualidade,positive,31,bed_bath_table,SP
2,"O único problema foi que comprei 3 pote de banho de verniz de 1kg),e só recebi 1 pote de 1kg.",negative,93,health_beauty,RJ
5,Adorei combinou com minha sala.,positive,31,furniture_living_room,SP
1,"NÃO RECEBI MEU PRODUTO  Não entraram em contato comigo até o momento, só foi emitida a nota fiscal e mais nada. O prazo já passou. E até agora nada.",negative,148,bed_bath_table,SP
1,"Eu recebi o produto sem o Pistão da cadeira, abri uma solicitação de devolução e foi cancelada pelo vendedor loja, sem nenhum motivo e vou ficar no prejuízo pois não fui atendido.",negative,179,office_furniture,SP
1,Esse parceiro e muito lerdo se eu não fisesse reclamação td dia o produto não tinha chegado a tempo para o dia das crianças,negative,123,cool_stuff,RJ
3,"muito bom entrega no praz, produto entregue com sucesso",neutral,55,computers_accessories,PR
5,Loja excelente. Cumpre o prazo.,positive,31,garden_tools,SP
3,"Chegou , mas não vai dar certo na minha casa , vou trocar",neutral,57,furniture_decor,PR
5,Chegou bem rapido.gostei muito dessa capinha é bem transparente e não oculta a beleza do celular.baratheon de parabens como sempre.,positive,131,telephony,SP
1,Estou muito chateada pois aguardei e até agora nada.,negative,52,books_general_interest,RJ
4,Muito boa compra em todos sentidos.,positive,35,sports_leisure,MG
2,Não veio oprotetor de escapamento!!,negative,35,auto,SP
5,"Entrega super rápida, produto é bom totalmente satisfeito...recomendo....",positive,73,auto,ES
1,"Eles não entrega 
Péssima loja 
Não recomendo 
Quero meu dinheiro de volta",negative,77,,SP
5,"Sempre recomendo Sempre recomendo as Lojas lannister , Pontualidade e respeito com os clientes.",positive,95,baby,SP
2,"Bom produto com um bom preço, mas demorou pra postar a mercadoria nos correios (+10 dias), vencendo assim o prazo de entregra, que era para o dia 21/12. Deve levar mais mais 7 dias pra chegar ainda...",negative,200,furniture_decor,BA
5,Tudo correu bem com o pedido!,positive,29,furniture_decor,SP
2,"O cor e estampa não é igual que a foto,mas ...gostei..",negative,54,bed_bath_table,SP
5,Nota 10 Tudo dentro do combinado,positive,32,computers_accessories,CE
4,"A entrega ocorreu no prazo, apesar do susto que o correio pregou informando que a encomenda não havia chegado no centro de distribuição durante o rastreio.",positive,155,bed_bath_table,BA
5,recomendo bom protudo,positive,21,sports_leisure,SE
1,"Como o produto veio fora da caixinha, soltos no envelope, enviei as informações do lote e as fotos para a Amazon, onde fui informado que o lote não existia e que o produto provavelmente é falso",negative,193,sports_leisure,SP
1,"não receci todas as peças compradas, somente metade das peças compradas",negative,71,cool_stuff,RJ
5,Recomendo Entrega no prazo combinado.,positive,37,pet_shop,SP
3,Não veio com garantia e na discrição falava que vinha com 12 meses,neutral,66,watches_gifts,SP
4,Tudo foi como divulgado.,positive,24,toys,PE
5,Antes do prazo Está de parabéns chegou antes do prazo .,positive,55,health_beauty,MA
5,chegou dentro do prazo. Produto chegou de acordo com minha expectativa.,positive,71,furniture_decor,RJ
5,Muito bom  Chegou antes do prazo da entrega amei,positive,48,housewares,PE
1,"Demora Já faz algum tempo que a compra ocorreu e ainda não recebi a mercadoria, trata-se de um descaso com o cliente, já havia realizado outras compras pela stark, mas essa atitude inviabiliza novas aqui",negative,203,computers_accessories,SP
1,"o único produto que chegou nesse pedido foi a ""Bola Medicine Slam Ball Para Crossfit 10 Kg Liveup Ls3004-10"".
como será resolvido a questão dos outros materias?",negative,161,sports_leisure,MA
5,"Muito bonita,material resistente,acetinado,coube perfeitamente na minha janela,amei!",positive,84,bed_bath_table,MG
5,Muito bom  Entregou antes do prazo recomendado,positive,46,telephony,SP
5,"PRODUTO ENTREGUE ANTES DO PRAZO..
TUDO PERFEITO, É PEQUENA MAS PARA O QUE QUERO ESTÁ ÓTIMO...",positive,94,garden_tools,SC
1,Zero  Tem mais de um mês que fiz a compra mas não recebi. Quero a devolução do dinheiro,negative,87,housewares,RS
3,"Recomendo os produtos comparados form entregues antes do prazo.
Mas o valor do frete esta muito alto.",neutral,102,bed_bath_table,RJ
4,Na foto apareceu um modelo e veio outro da mesma personagem.,positive,60,watches_gifts,SP
2,Comprei dia 19/08/18 com previsão de chegada dia 24/08/18. Até à data presente ( 01/09/18 ) não recebi o produto.,negative,113,sports_leisure,RJ
5,"Parabéns pela pontualidade....Estou satisfeita com o produto.
Obrigada!!!",positive,74,garden_tools,SP
3,Atrasou na entrega de um item mas foi resolvido muito rapido,neutral,60,kitchen_dining_laundry_garden_furniture,SP
5,"Muito bom!  Relógio muito bom, mais bonito pessoalmente!",positive,56,stationery,MG
1,Já passou o prazo de entrega e nada de produto.,negative,47,stationery,SP
5,Vcs sao 10 Parabens..,positive,21,watches_gifts,SP
4,"Produto entregue corretamente, embrulhado em plástico bolha dentro de uma caixa de papelão.",positive,91,watches_gifts,MG
5,O tapete é ótimo! Grosso e macio. Melhor do que eu imaginei.,positive,60,sports_leisure,ES
4,Muito bom Ótimo custo benefício,positive,31,housewares,SC
5,"Entrega rapida mesmo para interior, produto correto e de qualidade. Recomendo",positive,77,toys,RS
1,Ainda não recebi este item,negative,26,computers_accessories,SP
1,Entrega errada Comprei o jogo com 3 peças e me mandaram com 2 está errado to tentando entrar em contato com a lannister mais eles não respondem meus e-mail quero que seja feita a troca e não quero vale comprar,negative,209,bed_bath_table,SP
1,Eu solicitei devolução,negative,22,toys,RJ
2,Não recomendado  Alojas lannister mantem parceiros que não agem como ela pois comprei 04 colchas de casal chenille e a empresa parceira só me encaminhou uma e nem o codigo de rastreamento das demais foi encaminhado .,negative,216,bed_bath_table,SP
1,"FIZ UMA COMPRA E A ENTREGA FOI DIVIDIDA EM 3, SÓ RECEBI 1 PRODUTO ATE AGORA, ABSURDO",negative,84,computers_accessories,SP
5,Positivo Capas excelentes. Recomendo,positive,36,bed_bath_table,SP
1,so recebi um produtro foi pedido dois,negative,37,computers_accessories,PR
5,"Compro há anos e nunca tive problemas.
Eu recomendo...Pena que esse produto aumentou bastante.No mais,sem reclamações.",positive,119,sports_leisure,SC
2,Demorou muito a entrega,negative,23,bed_bath_table,RN
5,Produto de qualidade,positive,20,sports_leisure,SP
5,Parabéns produto ótimo e entrega mega rápido vcs arrasam,positive,56,baby,RJ
